Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,Production,Fertilizer_per_ha,Rainfall_norm
Potato,2007,Rabi,Rajasthan,388.76044455290014,919.4766975221023,33203.20438858221,1240.2937504379643,1820.7300157178267,707.8278103212712,85.40787740575836,0.6129844650147349
Cotton,2015,Kharif,Uttar Pradesh,526.8684601614855,513.6829390561614,171237.37737118144,14607.382930880702,4864.98805849103,2563.208767081184,325.0097326355369,0.34245529270410763
Soybean,2009,Rabi,Madhya Pradesh,536.0215617796129,673.008405062017,105565.25959182064,4149.256002508548,4465.365186345864,2393.532021101422,196.94218874580304,0.4486722700413447
Soybean,2017,Kharif,Rajasthan,422.16789337043144,708.6669916277413,10440.48064273162,644.6249438049651,789.491366506942,333.2979070323789,24.73063633375505,0.4724446610851608
Wheat,2019,Kharif,Tamil Nadu,56.025737778805706,1642.2251820943325,6823.751785916178,699.9817152403082,6811.162303852001,381.60039320449835,121.7967322957338,1.0948167880628883
Potato,2018,Kharif,Madhya Pradesh,211.50130691617707,847.9319132703838,14030.269028706472,461.9175687074452,2068.9661773567727,437.5890504763245,66.33655949117609,0.5652879421802559
Cotton,2017,Whole Year,Tamil Nadu,373.4643428369521,1457.3953932338786,55725.205756881674,1833.4786275361093,8101.553309847911,3025.641282820884,149.21158291465142,0.9715969288225857
Sugarcane,2019,Rabi,Bihar,1412.6614350727084,994.1726949286697,271812.4192143037,11535.784730234642,4638.4584429109755,6552.571360487738,192.41158034466608,0.6627817966191131
Rice,2011,Rabi,Rajasthan,245.41704683881176,1074.7840372416201,7890.117018990591,593.2715541799226,2161.0342768613114,530.3546503447501,32.149832787177026,0.7165226914944134
Cotton,2020,Kharif,Punjab,407.74808832153803,342.8719824826617,15958.940804187396,720.9028249411584,725.1047178194985,295.6600625238288,39.13921674012276,0.22858132165510778
Wheat,2006,Whole Year,Tamil Nadu,79.96330353516562,533.8184344389359,5421.961828882165,381.27123739452895,1956.1373606508002,156.4192055261977,67.80562569551341,0.35587895629262395
Soybean,2020,Whole Year,Bihar,61.198773997739885,1631.8938845584917,11834.557292344452,594.0741970346529,9690.580309197016,593.0516342494965,193.37899306253277,1.0879292563723277
Sugarcane,2010,Rabi,Gujarat,52.47377979290558,979.9248653396959,18703.01335575889,1320.8857390802514,8149.206208540158,427.61965207391523,356.4258841191296,0.6532832435597973
Cotton,2017,Whole Year,Gujarat,147.7731120913474,1185.296751998685,3710.157812578592,177.20880520470024,1688.5166553938611,249.51736098562404,25.107123752561435,0.7901978346657901
Rice,2010,Rabi,Bihar,2905.792343142799,1862.8607217176504,247683.4528291088,29226.953957180867,4675.274567737687,13585.37704102243,85.23783656241018,1.241907147811767
Rice,2015,Rabi,Karnataka,151.03453037801262,992.5682196072817,26503.53149516604,1835.9470710181458,6227.5292816191295,940.5719604646675,175.47994772342724,0.6617121464048544
Maize,2007,Rabi,Karnataka,379.00584409166197,967.0893095156787,26015.058451986184,2454.893909615884,2528.4839060926192,958.3101771008157,68.64025675998411,0.6447262063437857
Maize,2010,Whole Year,Madhya Pradesh,477.477744417672,1592.738649329891,87111.54798128398,7844.8004774841165,4129.667614764894,1971.8243778926492,182.4410645307134,1.0618257662199273
Groundnut,2014,Rabi,Karnataka,66.03369018636899,1055.5573604935723,15633.29432790462,1079.5717957366712,10581.746859056979,698.7517937215516,236.7472465007222,0.7037049069957149
Wheat,2014,Rabi,Gujarat,145.16510927490384,1194.0031621175883,7532.5305095487765,330.57418689971234,2332.9179754091647,338.6582928296588,51.88940060854555,0.7960021080783922
Potato,2020,Kharif,Karnataka,517.6493935769557,1498.5673302924693,75987.63982939483,5400.580452221051,5698.369626564941,2949.757581568686,146.79364212970572,0.9990448868616462
Cotton,2018,Rabi,Punjab,409.1136118294457,1050.0515896966617,68426.62304372266,6028.191320853445,4726.1375802582625,1933.5272154623344,167.25579659336503,0.7000343931311078
Cotton,2009,Rabi,Gujarat,22.358497451733967,1404.414813012503,1109.9614075994991,73.24849224563772,2157.7195683368527,48.243367470216036,49.643828257941294,0.9362765420083353
Potato,2020,Kharif,Tamil Nadu,499.3425957228357,997.869177443286,41631.09950695053,1173.6852198126007,3660.271788015132,1827.7296156785412,83.37181699207216,0.665246118295524
Groundnut,2016,Kharif,Andhra Pradesh,126.31913610553602,1491.512619107258,34840.780030666894,759.4705751407569,11611.813331316245,1466.7942286306145,275.81553440611265,0.9943417460715053
Soybean,2006,Whole Year,Karnataka,130.34950780833003,1239.5971812820203,65168.19954299584,3440.07811883519,6284.117334135093,819.1316015143044,499.94971702402734,0.8263981208546802
Soybean,2013,Rabi,Karnataka,397.7560316613456,948.5682028175034,300003.2353814151,10506.831093597517,5376.196258341101,2138.414489150331,754.2393112892919,0.6323788018783356
Groundnut,2012,Whole Year,Rajasthan,1521.6082434264006,1083.4123120128893,132193.41747043922,14623.106898142298,4190.822567812916,6376.790165921528,86.87743250704422,0.7222748746752595
Soybean,2007,Whole Year,Uttar Pradesh,192.38112835862214,200.0,11263.676508971148,423.32576173394716,1713.56996265251,329.6585229365319,58.54875998010713,0.13333333333333333
Maize,2012,Kharif,Punjab,1007.130279916766,1587.1981462186127,157795.2869565561,9377.501139077605,12000.0,12085.563359001191,156.6781280467479,1.058132097479075
Cotton,2018,Whole Year,Gujarat,43.418806578260124,485.41448175725816,4976.4234691420215,453.8883936749185,2342.393487567199,101.70392976685636,114.61446919717332,0.32360965450483875
Groundnut,2013,Rabi,Gujarat,286.25757433993215,568.8970526855304,82530.58093851754,8380.333949867936,2858.4601067134868,818.2558564952664,288.30881114262536,0.3792647017903536
Cotton,2018,Kharif,Maharashtra,127.83412344127971,852.8916471931104,24106.824454793623,1633.751201436986,7617.461523928319,973.7715167590515,188.57894751292312,0.5685944314620737
Potato,2019,Rabi,Uttar Pradesh,343.23261120983443,243.17224022211292,41678.5803954536,1588.516613948535,1532.9672263295956,526.1643439922044,121.42954671044792,0.16211482681474196
Rice,2007,Rabi,Karnataka,171.4739082688761,1260.4273259749104,39880.562565253706,1877.9566425495939,7561.148599986996,1296.539701441511,232.57510701114842,0.8402848839832736
Maize,2007,Kharif,Bihar,48.94642326934603,1212.4563021065658,7255.537564988299,449.09488234028356,10859.99707821767,531.5580136943032,148.23427495533198,0.8083042014043772
Sugarcane,2006,Rabi,Rajasthan,84.36129991562196,831.0574344496586,19716.368302174156,1113.1754864557959,4617.024760403557,389.49821053025704,233.71342454294134,0.5540382896331058
Maize,2012,Kharif,Tamil Nadu,34.06119310650962,744.8820615822417,6073.175467298112,333.21859284175724,4939.8649190652495,168.25769292835398,178.30190059130473,0.4965880410548278
Groundnut,2014,Rabi,Rajasthan,50.994537811923614,737.9715583795463,6059.072941678294,201.07263908168773,3043.5004777463087,155.20190019304172,118.81807741890256,0.4919810389196975
Sugarcane,2005,Kharif,Karnataka,435.4540369499519,1326.6592846620233,32862.92500494954,3658.6631324335376,3234.1497118643815,1408.3235481318686,75.46818312934042,0.8844395231080155
Rice,2012,Whole Year,Maharashtra,181.04677877975666,332.82336482020344,86489.55425688524,1987.1546476642793,2835.5205512868674,513.3618619742872,477.71937639442757,0.22188224321346897
Groundnut,2011,Rabi,Andhra Pradesh,322.8014060417159,865.9503693480311,14515.221481274206,928.9772634603305,1647.6144482368072,531.8522605054874,44.966413434390034,0.5773002462320208
Wheat,2018,Kharif,Gujarat,2161.7924141100725,361.7575259852897,915396.2535863733,100000.0,2493.015840127012,5389.382731442824,423.443179655715,0.24117168399019315
Cotton,2011,Rabi,Tamil Nadu,171.54298011877586,1395.9350045752303,36820.91653794827,3165.582339711841,9138.595298566475,1567.6618716155274,214.6454288741724,0.9306233363834869
Rice,2007,Rabi,Uttar Pradesh,523.8161268691235,898.699913605711,43489.21960000478,2415.437632327247,4106.601946123676,2151.104326011709,83.02382719665796,0.5991332757371407
Cotton,2005,Rabi,Karnataka,253.09441847013196,1296.0372092838556,73162.84313360682,2532.1483280267507,4730.475021880083,1197.2568247502243,289.0733172855049,0.864024806189237
Soybean,2008,Kharif,Punjab,6735.999214283637,1612.2919377087085,1914921.8155420402,100000.0,9254.118688337481,62335.7362135288,284.2817753721619,1.0748612918058056
Wheat,2013,Whole Year,Bihar,6.545800694511846,1619.8921669321019,3511.1583201838716,75.13399948967864,6156.102387155916,40.29661928133123,536.3985987425052,1.0799281112880679
Wheat,2009,Whole Year,Rajasthan,103.42071379338077,590.054417716138,5342.890531127821,470.9157305282718,1680.037658388929,173.75069383034304,51.66170620135269,0.3933696118107587
Rice,2005,Whole Year,Maharashtra,536.3724392263982,1189.2569982015548,57237.770839494835,6182.466106573904,4063.5188999166785,2179.5595441908795,106.71273662391751,0.7928379988010366
Wheat,2019,Kharif,Andhra Pradesh,99.13807004990086,1554.6273089866363,61983.34268240698,1395.6199803157583,9201.964611356336,912.2650122373532,625.2224059960805,1.036418205991091
Sugarcane,2009,Whole Year,Madhya Pradesh,482.64715984350096,1363.4144088755916,110505.53723898421,10223.694539632503,12000.0,5791.7659181220115,228.9571895021941,0.9089429392503944
Wheat,2017,Kharif,Bihar,227.6717659155531,1407.8986223048482,38504.457153057745,4616.0597211700615,6639.241443941678,1511.5678238819282,169.12267095665973,0.9385990815365655
Cotton,2012,Rabi,Karnataka,690.860972243713,247.50443166514071,365030.7456867582,30649.531641360012,3345.7242988642515,2311.430341972772,528.370772633524,0.16500295444342714
Cotton,2012,Rabi,Andhra Pradesh,62.89411533747751,1356.5161340544719,5255.032753552827,323.01580038364506,4122.520738017053,259.28229477798743,83.55364767204928,0.9043440893696479
Groundnut,2009,Whole Year,Bihar,301.09046649748757,693.1809166340242,3371.452028724576,362.229048493688,1403.9579405728696,422.7183512699372,11.197471869315095,0.4621206110893495
Cotton,2016,Kharif,Bihar,428.04223730982903,1349.1087226179757,43058.90442728683,3247.413209275515,4524.827667810808,1936.817358371154,100.59498963911727,0.8994058150786505
Groundnut,2020,Rabi,Gujarat,286.6170458869944,1339.2635949793378,199130.30768024825,18906.24479454762,4605.542339912273,1320.0269401731314,694.7608683356541,0.8928423966528919
Cotton,2013,Kharif,Bihar,292.7429680617803,1315.462754779649,36148.37902982363,2847.693358798764,9751.768076166023,2854.761530466959,123.48163055515272,0.8769751698530993
Sugarcane,2019,Kharif,Punjab,1035.7872938630696,1000.2078832061243,58818.45894325719,1401.5914840046346,1537.9332837125644,1592.9717540785814,56.78623332391732,0.6668052554707495
Potato,2005,Rabi,Andhra Pradesh,32.59350724242849,1642.2411121092337,14961.659647426328,618.1334698568375,12000.0,391.12208690914184,459.03803896102465,1.0948274080728224
Groundnut,2008,Kharif,Karnataka,284.28027319074585,1279.6386028185455,79290.73026130491,2210.3367351660677,7848.167310071003,2231.0791469536657,278.9174548460581,0.8530924018790303
Maize,2007,Rabi,Karnataka,57.34136356655282,1194.6821758024003,6950.256736527577,213.15586865145642,9277.01659191028,531.9567812096701,121.20843147479069,0.7964547838682668
Soybean,2006,Rabi,Punjab,607.3669411502104,629.5151170327746,151922.5074488104,3272.4942704148543,2749.345650822571,1669.8616581047395,250.13298741795992,0.4196767446885164
Rice,2019,Rabi,Uttar Pradesh,89.52157889183067,1228.2409521868974,5731.847847811666,356.04231480982514,2148.761700367544,192.36054007919734,64.02755535330184,0.8188273014579316
Cotton,2012,Kharif,Andhra Pradesh,12.59204430643692,1940.4198079071089,1424.343844755869,53.9330120995811,12000.0,151.10453167724305,113.11458331096877,1.293613205271406
Wheat,2011,Rabi,Bihar,625.0057796270595,424.4178815739226,76840.27312213827,8112.000896884782,815.7167604698144,509.8276898322957,122.94330008914287,0.2829452543826151
Potato,2013,Kharif,Maharashtra,177.31972291508774,1378.5477440997747,50730.45916690115,4819.584050522979,12000.0,2127.836674981053,286.09597586160345,0.9190318293998498
Cotton,2006,Rabi,Tamil Nadu,375.38626630585975,1435.3076938195231,32124.08079252723,2483.7600248376402,4088.8405113269414,1534.8945730671628,85.5760683752691,0.9568717958796821
Wheat,2018,Rabi,Andhra Pradesh,1356.157596342782,1826.4837320540241,234262.14959412772,16141.162147802148,12000.0,16273.891156113385,172.73962128433612,1.2176558213693494
Soybean,2018,Whole Year,Madhya Pradesh,382.0995982854242,1376.5830338716291,191975.24881004376,8751.549569926936,6008.677224238681,2295.913153608378,502.4220116207512,0.917722022581086
Soybean,2020,Whole Year,Maharashtra,299.8594007675659,1054.8054884557553,325161.99416421464,21946.85646079701,11899.77967813101,3568.2608035504227,1084.3815245807882,0.7032036589705035
Soybean,2008,Whole Year,Punjab,231.19824476550045,1240.1752079913567,10794.915728463333,908.0999141272548,1911.4401231745962,441.9216014523186,46.69116644640789,0.8267834719942379
Wheat,2018,Kharif,Bihar,61.758537156665604,929.3749042078263,12734.356906603025,1250.8052869660687,4720.000928337479,291.50035271222634,206.1958960313328,0.6195832694718841
Cotton,2019,Kharif,Uttar Pradesh,188.99160012435942,1598.666095093491,7929.244049279218,223.35258476775556,2726.2776273316463,515.2435711726498,41.95553688133045,1.065777396728994
Soybean,2010,Rabi,Madhya Pradesh,2614.108221701451,352.95915224885596,316814.51936581027,28781.480372573184,1228.0666231391126,3210.2990563450917,121.19410999732996,0.2353061014992373
Sugarcane,2015,Rabi,Uttar Pradesh,155.9814240940696,830.4579713327236,14553.409500847674,1371.9933945190646,2525.073913761912,393.86462501136896,93.30219662612372,0.553638647555149
Groundnut,2007,Rabi,Uttar Pradesh,202.91427692372943,1250.77008208302,110879.82971767009,8415.470839899337,6631.542736186423,1345.634699202078,546.4368076936604,0.83384672138868
Wheat,2012,Rabi,Rajasthan,1105.9963374252768,1576.9188503679366,42382.59927571136,1755.992444372381,2170.44312929125,2400.502151585979,38.32074107440235,1.0512792335786243
Wheat,2007,Kharif,Gujarat,38.492122382563764,1043.7974646059713,1699.6513455042261,125.63560787223585,3466.266887958845,133.4239692619403,44.155823069764985,0.6958649764039808
Cotton,2018,Rabi,Madhya Pradesh,514.9907097333586,697.9481380201113,324384.7350854916,22794.67369309411,7060.919820542508,3636.3081097515255,629.8846347217506,0.4652987586800742
Wheat,2016,Rabi,Tamil Nadu,36.3554489918185,955.107261064756,2685.361311496342,181.45257506245665,3313.2239040778622,120.45374264317647,73.86406676205982,0.6367381740431707
Wheat,2017,Whole Year,Gujarat,395.05557857560063,884.8672824623243,45889.70895263158,3031.657344328021,4368.719014999066,1725.886818104684,116.16013401985109,0.5899115216415495
Soybean,2017,Rabi,Madhya Pradesh,238.19952479170223,905.5611737703639,35667.45927483966,1108.6358227281755,3102.924701776844,739.1151894276786,149.73774320511217,0.6037074491802426
Cotton,2020,Rabi,Uttar Pradesh,510.2394845026806,854.1695522855476,44678.87563140628,1710.7205711142312,2706.232097676006,1380.8264704628134,87.56452016831628,0.5694463681903651
Soybean,2006,Rabi,Gujarat,72.60477970456874,854.3656215634537,5096.554255391316,151.5369120661076,2239.394721827741,162.59076044987714,70.19585041273265,0.5695770810423024
Groundnut,2017,Kharif,Madhya Pradesh,128.761299444688,277.8274173514952,60274.38102772636,2667.0077181180736,2312.097897766586,297.708729759757,468.1094497156611,0.18521827823433015
Potato,2017,Whole Year,Tamil Nadu,542.866560048629,1185.0691836871392,145262.77258241878,6732.592248703686,8112.457325786443,4403.981801990987,267.58467600105337,0.7900461224580928
Groundnut,2007,Rabi,Maharashtra,132.71460296011094,1353.6300998889483,23784.28002549001,1058.5808922336796,7381.001529510506,979.5666874369583,179.21373756163575,0.9024200665926322
Potato,2015,Rabi,Andhra Pradesh,605.8414466438278,1724.2777308384825,95636.5469293236,3929.983711415568,6598.48483859319,3997.635600270663,157.85738572215578,1.149518487225655
Soybean,2010,Whole Year,Bihar,314.5061946687562,1437.180430539999,57994.29979552619,5424.914654118918,11248.610119480836,3537.757563990381,184.3979571105328,0.958120287026666
Groundnut,2020,Rabi,Madhya Pradesh,143.3225795033167,1414.2120324047255,24923.224928833253,2538.5934558910817,12000.0,1719.8709540398002,173.8960114673103,0.9428080216031504
Cotton,2006,Kharif,Tamil Nadu,167.59912819989617,1183.2054239121646,78104.8086402754,4116.976449292604,8594.30030143282,1440.3972380082455,466.0215687227172,0.7888036159414431
Rice,2012,Rabi,Andhra Pradesh,245.72322428690381,256.851516281262,37772.48758665429,1907.9974790811286,2060.5216796291925,506.3180308315518,153.71964817843812,0.171234344187508
Soybean,2005,Kharif,Gujarat,187.87586705962576,1176.0635047779979,39221.75741373001,4094.878355407939,5899.171440511052,1108.3119493193956,208.76421238967475,0.7840423365186653
Potato,2011,Kharif,Madhya Pradesh,587.7488345277945,1100.5695067325526,191167.58336176802,15750.754115544825,5882.960224607797,3457.703015586605,325.25387058462593,0.7337130044883684
Sugarcane,2006,Rabi,Madhya Pradesh,156.72063172937723,1513.443003230662,33629.15218689078,1659.3912519175658,11027.536329742832,1728.2424600159547,214.58024904443394,1.0089620021537746
Potato,2014,Whole Year,Punjab,123.02196154064222,1305.3653853617748,56599.53246955707,5171.002861884073,6369.916105552756,783.6395741544286,460.07665428792995,0.8702435902411831
Sugarcane,2016,Kharif,Madhya Pradesh,729.4581642846276,991.5573105971746,113744.39340007564,6194.437885001413,7148.300285201194,5214.386003798143,155.92997510916015,0.6610382070647831
Wheat,2020,Whole Year,Bihar,147.443492858272,1931.168502110721,10329.988851078737,812.5110726908034,5451.023580855876,803.7179564141957,70.06066290770997,1.287445668073814
Groundnut,2010,Rabi,Punjab,127.93905985683432,1431.8054054115287,12482.43202120835,1488.6973205502493,8778.865708470383,1123.1598253511024,97.56545057605061,0.9545369369410192
Sugarcane,2016,Kharif,Andhra Pradesh,12.39388787911322,1202.939084978117,4051.935130067276,203.24278699819916,8498.755985777592,105.33262879966983,326.9301101953482,0.8019593899854114
Potato,2006,Rabi,Gujarat,70.28763945454222,1254.8912045236516,9696.364986008932,1096.199272904099,4296.178182476508,301.96822312237924,137.95263379530553,0.8365941363491011
Wheat,2006,Whole Year,Gujarat,89.44706748791099,1077.5319932149107,127677.84599145029,6647.5778766118465,7337.766316984477,656.3416789658306,1427.412318561548,0.7183546621432738
Rice,2014,Rabi,Karnataka,127.9760694463406,1057.4270048900078,20849.200973485316,1543.4386277509802,4829.561703576853,618.0683239723384,162.91484074862316,0.7049513365933385
Cotton,2017,Rabi,Karnataka,102.86659350631601,200.0,7024.530682457963,463.6076379963336,869.563827127399,89.4490687329106,68.28777393145285,0.13333333333333333
Cotton,2012,Kharif,Andhra Pradesh,796.0485515666329,638.21231222511,158442.64053750574,15577.439712747173,4400.999424901897,3503.40921763874,199.03640327677095,0.42547487481674
Cotton,2019,Rabi,Rajasthan,96.52700624552273,806.582747132309,41186.77300492269,1075.3565746807417,5041.315804364909,486.623122133584,426.68652646453626,0.5377218314215393
Sugarcane,2019,Rabi,Tamil Nadu,105.55671123216797,1252.7854529670628,7199.319219617155,595.4717500655556,3535.8033784363174,373.22777619132626,68.20333009222432,0.8351903019780419
Rice,2016,Rabi,Rajasthan,294.9438609954104,306.7424301790518,16156.130080639166,1552.066011706973,662.0512736872623,195.26795883825028,54.77696679671042,0.2044949534527012
Sugarcane,2006,Kharif,Tamil Nadu,65.23406123386786,815.4746848463334,10306.04626606814,692.7155935843615,3497.078237197379,228.1286158649605,157.98566072899206,0.5436497898975556
Groundnut,2011,Whole Year,Punjab,1598.4514340177882,757.8068976976126,105899.71225472934,3233.0399185849888,1234.355734991615,1973.057694685428,66.25144186492115,0.505204598465075
Sugarcane,2007,Whole Year,Andhra Pradesh,640.7171842852271,1102.539668027318,21875.40756386145,973.0290956429174,2020.3280405993937,1294.4588935053334,34.142064705608405,0.7350264453515453
Rice,2012,Rabi,Tamil Nadu,60.23753466694007,1253.9053989197184,2285.9387797032314,201.08771842470176,880.028596610795,53.01075309624139,37.94874395744177,0.8359369326131456
Rice,2011,Kharif,Karnataka,825.8395481689134,759.3843962588996,143843.1750800069,15757.119163170684,5585.235851930807,4612.508652375354,174.1781141372342,0.5062562641725997
Groundnut,2018,Rabi,Karnataka,1060.0271154837117,791.7290642927478,192696.47619964983,11978.178814436715,3991.587725247397,4231.191222594189,181.7844783260271,0.5278193761951652
Rice,2012,Whole Year,Uttar Pradesh,62.144499827992064,743.8668742233176,3492.5025359923407,265.5740960909917,815.8558279188,50.70095235776619,56.19970465059878,0.4959112494822117
Potato,2018,Kharif,Tamil Nadu,60.449001617774066,874.4423140619476,9608.38081092869,411.6086566575363,5517.2780243736015,333.51394822106914,158.95019857703485,0.5829615427079651
Rice,2011,Whole Year,Andhra Pradesh,117.62530900324474,1026.9844656802645,19276.8153422405,1180.1523004749865,5716.769875171901,672.4368230675357,163.883228070489,0.6846563104535097
Cotton,2015,Whole Year,Maharashtra,44.77965273851424,1641.8064008512947,1774.8815361799057,95.27383186214063,936.158848988233,41.92086816578026,39.63589326036375,1.0945376005675298
Potato,2010,Kharif,Punjab,95.93335759559733,594.3777134083739,28475.63410056751,2436.163246772462,3919.9391921703937,376.0529282754793,296.8272435601101,0.39625180893891593
Potato,2017,Kharif,Madhya Pradesh,151.38866924440904,1837.8784822425123,21469.214838458123,2543.4556312409077,12000.0,1816.6640309329086,141.81520285244866,1.2252523214950082
Groundnut,2011,Rabi,Madhya Pradesh,448.0849494070848,494.78198920168745,82203.80891900566,8329.740334400018,2711.033359634971,1214.773245792955,183.45585815319043,0.32985465946779163
Maize,2009,Rabi,Tamil Nadu,269.74325623774314,1479.588954947886,91069.70653861243,3571.431366406443,8527.591319913861,2300.260250498279,337.61624964720704,0.9863926366319239
Maize,2011,Whole Year,Rajasthan,204.8697050933831,835.8918248811274,231581.6930532474,18009.61252892489,4078.3293241972815,835.5261259219934,1130.3852511902066,0.5572612165874182
Rice,2005,Kharif,Punjab,137.02892652927196,640.0688210505248,5332.599455591893,142.0666966097149,1014.7809751251302,139.05434768372442,38.91586682212496,0.4267125473670165
Potato,2005,Kharif,Gujarat,50.93004884940227,1642.595927310817,4202.000095860206,187.79389185541652,7230.274952797369,368.2382565405797,82.50532231542365,1.0950639515405447
Maize,2013,Rabi,Bihar,497.7317474410227,1086.78873590902,379938.3056144726,14141.975316214137,4332.5242635790955,2156.434872541853,763.3395047992037,0.7245258239393467
Maize,2018,Whole Year,Madhya Pradesh,484.56374349037816,1069.5691178717111,102239.88145976064,5475.411228456246,3370.5259893875445,1633.2346909492394,210.99366767169363,0.7130460785811408
Rice,2009,Whole Year,Karnataka,116.72044197225324,925.315850374822,16364.416395875838,1438.127772395185,5183.408825062518,605.009768984175,140.2018028664249,0.6168772335832147
Maize,2017,Rabi,Punjab,65.27530784190142,788.3418483328085,7393.063748596876,517.0659377308718,4821.522568750946,314.7263699418933,113.25973010350374,0.5255612322218723
Sugarcane,2009,Kharif,Rajasthan,1583.3930525234082,970.4193610687429,163139.91652670546,18482.272208087023,2210.8641778803494,3500.6669793286214,103.03185066191496,0.6469462407124953
Wheat,2007,Rabi,Andhra Pradesh,329.006182145396,200.0,39831.75008755074,1644.05086377723,1559.3151923375156,513.0243381922799,121.06687426909231,0.13333333333333333
Groundnut,2009,Rabi,Rajasthan,394.00434989910616,215.83894570364373,14727.525972771198,830.9404855529967,865.0004824505874,340.81395275035686,37.37909486670012,0.1438926304690958
Wheat,2007,Rabi,Punjab,414.95805085304056,1226.5431985520402,130562.53901049476,6917.889772727796,8527.210587386378,3538.4346845552627,314.64033229887644,0.8176954657013601
Rice,2013,Rabi,Gujarat,57.80177945958505,1582.2498167124375,1450.9522098336893,63.25623864936682,2497.2709518648708,144.34670481052132,25.102206599853794,1.054833211141625
